date,avg_temp_max_celsius,avg_temp_min_celsius,avg_temp_mean_celsius,avg_temp_range_celsius,total_precipitation_mm,avg_precipitation_mm,max_wind_speed_kmh,avg_wind_speed_kmh,rainy_city_count,hot_city_count,cold_city_count,day_of_week,is_weekend,month,season,temp_extreme_flag,temp_deviation_from_18,comfort_gap_celsius,wet_day_flag
2025-07-26,27.666666666666668,18.3,22.983333333333334,9.366666666666667,7.499999999999999,2.4999999999999996,14.8,12.700000000000001,3,3,0,Saturday,1,7,Summer,1,4.983333333333334,4.983333333333334,1
2025-07-27,29.933333333333334,21.2,25.566666666666663,8.733333333333333,16.8,5.6000000000000005,22.7,19.166666666666668,3,3,0,Sunday,1,7,Summer,1,7.566666666666663,7.566666666666663,1
2025-07-28,30.933333333333334,19.133333333333336,25.03333333333333,11.799999999999999,0.0,0.0,18.6,17.8,0,3,0,Monday,0,7,Summer,1,7.033333333333331,7.033333333333331,0
2025-07-29,29.7,20.066666666666666,24.883333333333336,9.633333333333333,0.0,0.0,15.5,13.966666666666667,0,3,0,Tuesday,0,7,Summer,1,6.883333333333336,6.883333333333336,0
2025-07-30,28.3,20.099999999999998,24.2,8.2,3.0,1.0,19.8,18.599999999999998,3,3,0,Wednesday,0,7,Summer,1,6.199999999999999,6.199999999999999,1
2025-07-31,23.46666666666667,17.133333333333333,20.3,6.333333333333333,8.5,2.8333333333333335,15.9,14.4,2,0,0,Thursday,0,7,Summer,0,2.3000000000000007,2.3000000000000007,1
2025-08-01,23.733333333333334,15.333333333333334,19.533333333333335,8.4,0.0,0.0,16.7,15.333333333333334,0,0,0,Friday,0,8,Summer,0,1.533333333333335,1.533333333333335,0
2025-08-02,25.8,14.666666666666666,20.233333333333334,11.133333333333331,0.0,0.0,20.8,16.5,0,3,0,Saturday,1,8,Summer,1,2.2333333333333343,2.2333333333333343,0
2025-08-03,27.46666666666667,16.400000000000002,21.933333333333334,11.066666666666668,0.0,0.0,19.1,14.766666666666667,0,3,0,Sunday,1,8,Summer,1,3.9333333333333336,3.9333333333333336,0
2025-08-04,27.266666666666666,17.466666666666665,22.366666666666664,9.8,0.0,0.0,14.7,14.133333333333333,0,3,0,Monday,0,8,Summer,1,4.366666666666664,4.366666666666664,0
2025-08-05,26.7,19.466666666666665,23.083333333333332,7.233333333333334,0.0,0.0,16.8,15.033333333333333,0,3,0,Tuesday,0,8,Summer,1,5.083333333333332,5.083333333333332,0
2025-08-06,27.099999999999998,19.2,23.150000000000002,7.8999999999999995,0.3,0.09999999999999999,16.3,14.833333333333334,1,3,0,Wednesday,0,8,Summer,1,5.150000000000002,5.150000000000002,1
2025-08-07,27.96666666666667,19.599999999999998,23.78333333333333,8.366666666666667,0.0,0.0,17.5,14.200000000000001,0,3,0,Thursday,0,8,Summer,1,5.783333333333331,5.783333333333331,0
2025-08-08,29.133333333333336,19.933333333333334,24.533333333333335,9.200000000000001,3.3,1.0999999999999999,15.7,15.233333333333334,1,3,0,Friday,0,8,Summer,1,6.533333333333335,6.533333333333335,1
2025-08-09,29.666666666666668,20.266666666666666,24.96666666666667,9.4,0.0,0.0,16.4,15.333333333333334,0,3,0,Saturday,1,8,Summer,1,6.966666666666669,6.966666666666669,0
2025-08-10,31.433333333333334,21.8,26.616666666666664,9.633333333333333,0.0,0.0,17.0,16.433333333333334,0,3,0,Sunday,1,8,Summer,1,8.616666666666664,8.616666666666664,0
2025-08-11,31.26666666666667,21.333333333333332,26.3,9.933333333333335,0.1,0.03333333333333333,19.3,16.866666666666667,1,3,0,Monday,0,8,Summer,1,8.3,8.3,1
