date,city,latitude,longitude,timezone,temp_max_celsius,temp_min_celsius,precipitation_mm,wind_speed_max_kmh,source_file,temp_range_celsius
2025-05-19,toronto,43.690685,-79.41174,America/Toronto,15.1,7.3,0.5,17.2,toronto_weather_2026-04-12T17-07-49.json,7.8
2025-05-20,barrie,44.393673,-79.66312,America/Toronto,15.6,2.6,0.0,16.7,barrie_weather_2026-04-12T17-07-49.json,13.0
2025-05-20,oshawa,43.90158,-79.09091,America/Toronto,14.4,3.3,0.0,14.6,oshawa_weather_2026-04-12T17-07-49.json,11.100000000000001
2025-05-20,toronto,43.690685,-79.41174,America/Toronto,13.2,5.2,0.0,15.4,toronto_weather_2026-04-12T17-07-49.json,7.999999999999999
2025-05-21,barrie,44.393673,-79.66312,America/Toronto,13.5,7.8,7.3,27.6,barrie_weather_2026-04-12T17-07-49.json,5.7
2025-05-21,oshawa,43.90158,-79.09091,America/Toronto,12.4,7.4,19.7,32.8,oshawa_weather_2026-04-12T17-07-49.json,5.0
2025-05-21,toronto,43.690685,-79.41174,America/Toronto,10.4,8.1,14.0,29.4,toronto_weather_2026-04-12T17-07-49.json,2.3000000000000007
2025-05-22,barrie,44.393673,-79.66312,America/Toronto,10.7,7.7,24.8,27.7,barrie_weather_2026-04-12T17-07-49.json,2.999999999999999
2025-05-22,oshawa,43.90158,-79.09091,America/Toronto,9.4,7.4,36.9,31.5,oshawa_weather_2026-04-12T17-07-49.json,2.0
2025-05-22,toronto,43.690685,-79.41174,America/Toronto,10.6,7.4,40.6,26.1,toronto_weather_2026-04-12T17-07-49.json,3.1999999999999993
2025-05-23,barrie,44.393673,-79.66312,America/Toronto,8.6,5.8,9.3,21.2,barrie_weather_2026-04-12T17-07-49.json,2.8
2025-05-23,oshawa,43.90158,-79.09091,America/Toronto,10.6,7.8,5.4,21.5,oshawa_weather_2026-04-12T17-07-49.json,2.8
2025-05-23,toronto,43.690685,-79.41174,America/Toronto,11.4,8.4,1.0,20.8,toronto_weather_2026-04-12T17-07-49.json,3.0
2025-05-24,barrie,44.393673,-79.66312,America/Toronto,10.9,6.0,2.0,25.1,barrie_weather_2026-04-12T17-07-49.json,4.9
2025-05-24,oshawa,43.90158,-79.09091,America/Toronto,13.2,7.9,0.8,24.3,oshawa_weather_2026-04-12T17-07-49.json,5.299999999999999
2025-05-24,toronto,43.690685,-79.41174,America/Toronto,14.6,8.5,0.9,21.3,toronto_weather_2026-04-12T17-07-49.json,6.1
2025-05-25,barrie,44.393673,-79.66312,America/Toronto,12.9,5.8,0.2,21.2,barrie_weather_2026-04-12T17-07-49.json,7.1000000000000005
2025-05-25,oshawa,43.90158,-79.09091,America/Toronto,15.6,6.8,2.4,16.8,oshawa_weather_2026-04-12T17-07-49.json,8.8
2025-05-25,toronto,43.690685,-79.41174,America/Toronto,16.2,7.5,7.1,15.9,toronto_weather_2026-04-12T17-07-49.json,8.7
2025-05-26,barrie,44.393673,-79.66312,America/Toronto,19.2,7.1,0.2,14.8,barrie_weather_2026-04-12T17-07-49.json,12.1
2025-05-26,oshawa,43.90158,-79.09091,America/Toronto,20.6,8.3,0.0,18.4,oshawa_weather_2026-04-12T17-07-49.json,12.3
2025-05-26,toronto,43.690685,-79.41174,America/Toronto,18.2,8.6,0.1,12.0,toronto_weather_2026-04-12T17-07-49.json,9.6
2025-05-27,barrie,44.393673,-79.66312,America/Toronto,21.1,7.8,0.0,9.9,barrie_weather_2026-04-12T17-07-49.json,13.3
2025-05-27,oshawa,43.90158,-79.09091,America/Toronto,20.5,9.4,0.0,12.2,oshawa_weather_2026-04-12T17-07-49.json,11.1
2025-05-27,toronto,43.690685,-79.41174,America/Toronto,19.8,10.3,0.0,10.6,toronto_weather_2026-04-12T17-07-49.json,9.5
2025-05-28,barrie,44.393673,-79.66312,America/Toronto,19.5,9.7,5.4,23.8,barrie_weather_2026-04-12T17-07-49.json,9.8
2025-05-28,oshawa,43.90158,-79.09091,America/Toronto,16.9,8.6,5.4,18.6,oshawa_weather_2026-04-12T17-07-49.json,8.299999999999999
2025-05-28,toronto,43.690685,-79.41174,America/Toronto,15.4,10.6,6.3,18.3,toronto_weather_2026-04-12T17-07-49.json,4.800000000000001
2025-05-29,barrie,44.393673,-79.66312,America/Toronto,16.6,10.8,8.1,15.7,barrie_weather_2026-04-12T17-07-49.json,5.800000000000001
