date,ontario_demand_avg_mw,ontario_demand_peak_mw,ontario_demand_min_mw,ontario_demand_std_mw,market_demand_avg_mw,ontario_peak_hour,demand_range_mw
2025-10-05,15581.375,19380,12472,2357.3016964409708,17276.958333333332,17,6908
2025-10-06,16739.833333333332,20335,13113,2355.549205168726,18753.958333333332,17,7222
2025-10-07,16372.041666666666,18041,13687,1646.2490825105006,18379.0,13,4354
2025-10-08,14708.125,16633,12761,1133.2576096292532,17084.958333333332,19,3872
2025-10-09,14834.083333333334,16906,12658,1303.4979333772799,16617.375,19,4248
2025-10-10,14829.833333333334,16696,13141,1095.2906172481735,16669.0,19,3555
2025-10-11,14262.958333333334,15623,12496,1065.3274442188167,15888.208333333334,18,3127
2025-10-12,13652.458333333334,15047,12219,950.2935921239726,15643.666666666666,19,2828
2025-10-13,13709.666666666666,15734,11809,1272.1749834066854,15778.958333333334,19,3925
2025-10-14,14893.333333333334,17024,12535,1426.9706638057837,16483.833333333332,19,4489
2025-10-15,14881.791666666666,16660,12807,1249.4355239960128,16552.958333333332,19,3853
2025-10-16,14849.291666666666,16981,13035,1206.617639777899,16239.166666666666,19,3946
2025-10-17,15466.041666666666,16890,13408,1288.1364861240675,16948.25,17,3482
2025-10-18,14261.791666666666,15793,12737,974.5658109781698,16140.458333333334,17,3056
2025-10-19,14190.708333333334,16354,12088,1520.3120240142553,16016.708333333334,16,4266
2025-10-20,14977.416666666666,17007,12302,1520.0798296161286,16848.416666666668,19,4705
2025-10-21,15190.166666666666,16889,12843,1361.2332537131522,17286.708333333332,19,4046
2025-10-22,15353.666666666666,17057,12901,1406.4933473827323,17472.5,19,4156
2025-10-23,15512.041666666666,17191,13108,1371.690023266021,17869.166666666668,19,4083
2025-10-24,15592.916666666666,17058,13528,1229.3942275229156,17782.166666666668,18,3530
2025-10-25,14844.125,16441,13383,944.5695735877932,16724.0,18,3058
2025-10-26,14561.291666666666,16710,13166,1072.9647459327311,16136.375,19,3544
2025-10-27,15498.541666666666,17510,13522,1248.4548355664597,17449.541666666668,19,3988
2025-10-28,15447.833333333334,17430,13621,1197.9075839605262,17656.416666666668,19,3809
2025-10-29,15567.541666666666,17264,13814,1070.5741644868262,17667.208333333332,19,3450
2025-10-30,16238.875,17854,13742,1470.0220144018554,18345.0,17,4112
2025-10-31,15866.75,17455,13739,1232.3435873940782,18020.916666666668,17,3716
2025-11-01,15406.25,16892,13693,1062.1681374311288,16835.666666666668,19,3199
2025-11-02,14887.541666666666,17169,13606,1026.2855344339644,16652.791666666668,18,3563
2025-11-03,15881.875,17853,13202,1614.2794950204486,19014.5,18,4651
2025-11-04,15529.25,17755,13764,1242.148393081431,17763.125,18,3991
2025-11-05,16209.75,17848,13628,1508.3007787342801,18378.25,18,4220
2025-11-06,16312.916666666666,18256,14154,1320.5687811685925,17904.583333333332,19,4102
2025-11-07,16570.208333333332,18464,14249,1455.850983152097,19006.333333333332,17,4215
2025-11-08,15639.541666666666,17722,13627,1213.2085013523538,17181.875,18,4095
2025-11-09,16653.791666666668,19056,14091,1683.4999510379928,18599.0,18,4965
2025-11-10,17671.791666666668,19731,15033,1648.934859872108,18845.041666666668,18,4698
